raw,type,is_cask,status,available,details
brew install zoxide  # Smart cd command,install,formula,available,True,"{""installed"": [{""version"": ""0.9.8"", ""used_options"": [], ""built_as_bottle"": true, ""poured_from_bottle"": true, ""time"": 1762628837, ""runtime_dependencies"": [], ""installed_as_dependency"": false, ""installed_on_request"": true}], ""versions"": {""stable"": ""0.9.8"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Shell extension to navigate your filesystem faster""}"
brew install celery  # Celery task queue,install,formula,missing,False,"""Error: No available formula with the name \""celery\"". Did you mean celero?"""
brew install kafka  # Apache Kafka,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""4.1.0"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Open-source distributed event streaming platform""}"
brew install kubectl  # kubectl CLI,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""1.34.1"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Kubernetes command-line interface""}"
brew install minikube  # Local Kubernetes cluster,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""1.37.0"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Run a Kubernetes cluster locally""}"
brew install node  # Node.js runtime,install,formula,available,True,"{""installed"": [{""version"": ""25.1.0_1"", ""used_options"": [], ""built_as_bottle"": true, ""poured_from_bottle"": true, ""time"": 1762628678, ""runtime_dependencies"": [{""full_name"": ""brotli"", ""version"": ""1.2.0"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""1.2.0"", ""declared_directly"": true}, {""full_name"": ""c-ares"", ""version"": ""1.34.5"", ""revision"": 0, ""bottle_rebuild"": 1, ""pkg_version"": ""1.34.5"", ""declared_directly"": true}, {""full_name"": ""icu4c@77"", ""version"": ""77.1"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""77.1"", ""declared_directly"": true}, {""full_name"": ""libnghttp2"", ""version"": ""1.68.0"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""1.68.0"", ""declared_directly"": true}, {""full_name"": ""libnghttp3"", ""version"": ""1.12.0"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""1.12.0"", ""declared_directly"": true}, {""full_name"": ""ca-certificates"", ""version"": ""2025-11-04"", ""revision"": 0, ""bottle_rebuild"": 1, ""pkg_version"": ""2025-11-04"", ""declared_directly"": false}, {""full_name"": ""openssl@3"", ""version"": ""3.6.0"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""3.6.0"", ""declared_directly"": true}, {""full_name"": ""libngtcp2"", ""version"": ""1.17.0"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""1.17.0"", ""declared_directly"": true}, {""full_name"": ""libuv"", ""version"": ""1.51.0"", ""revision"": 0, ""bottle_rebuild"": 1, ""pkg_version"": ""1.51.0"", ""declared_directly"": true}, {""full_name"": ""simdjson"", ""version"": ""4.2.1"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""4.2.1"", ""declared_directly"": true}, {""full_name"": ""readline"", ""version"": ""8.3.1"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""8.3.1"", ""declared_directly"": false}, {""full_name"": ""sqlite"", ""version"": ""3.51.0"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""3.51.0"", ""declared_directly"": true}, {""full_name"": ""uvwasi"", ""version"": ""0.0.23"", ""revision"": 0, ""bottle_rebuild"": 1, ""pkg_version"": ""0.0.23"", ""declared_directly"": true}, {""full_name"": ""lz4"", ""version"": ""1.10.0"", ""revision"": 0, ""bottle_rebuild"": 1, ""pkg_version"": ""1.10.0"", ""declared_directly"": false}, {""full_name"": ""xz"", ""version"": ""5.8.1"", ""revision"": 0, ""bottle_rebuild"": 0, ""pkg_version"": ""5.8.1"", ""declared_directly"": false}, {""full_name"": ""zstd"", ""version"": ""1.5.7"", ""revision"": 0, ""bottle_rebuild"": 1, ""pkg_version"": ""1.5.7"", ""declared_directly"": true}], ""installed_as_dependency"": false, ""installed_on_request"": true}], ""versions"": {""stable"": ""25.1.0"", ""head"": ""HEAD"", ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Open-source, cross-platform JavaScript runtime environment""}"
brew install rabbitmq  # RabbitMQ message broker,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""4.2.0"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""Messaging and streaming broker""}"
brew install yarn  # Yarn package manager,install,formula,available,True,"{""installed"": [], ""versions"": {""stable"": ""1.22.22"", ""head"": null, ""bottle"": true}, ""deprecated"": false, ""disabled"": false, ""desc"": ""JavaScript package manager""}"
brew install --cask 1password  # Password manager,install,cask,available,True,"{""version"": ""8.11.16"", ""deprecated"": false, ""disabled"": false, ""desc"": ""Password manager that keeps all passwords secure behind one password""}"
brew install --cask alfred  # Launcher productivity app,install,cask,available,True,"{""version"": ""5.7.1,2307"", ""deprecated"": false, ""disabled"": false, ""desc"": ""Application launcher and productivity software""}"
